English,Chinese,Category,Notes
Factory default,出厂默认,Engineering,参数
User default,用户默认,Engineering,参数
System parameter,系统参数,Engineering,参数
Application parameter,应用参数,Engineering,参数
Hardware configuration,硬件配置,Engineering,配置
Software configuration,软件配置,Engineering,配置
Point,点位,Engineering,数据点
IO point,输入输出点,Engineering,点位
AI (Analog Input),模拟输入点,Engineering,点位
AO (Analog Output),模拟输出点,Engineering,点位
BI (Binary Input),数字输入点,Engineering,点位
BO (Binary Output),数字输出点,Engineering,点位
Multistate input,多状态输入,Engineering,点位
Multistate output,多状态输出,Engineering,点位
Virtual point,虚拟点位,Engineering,点位
System point,系统点位,Engineering,点位
User point,用户点位,Engineering,点位
Hardware point,硬件点位,Engineering,点位


# ==================== 通信与接口 ====================
Interface,接口,Communication,通信接口
Communication,通信,Communication,功能
Network,网络,Communication,通信网络
Bus,总线,Communication,通信介质
MS/TP,MS/TP,Communication,主从令牌环
Ethernet,以太网,Communication,网络协议
IP address,IP地址,Communication,配置
MAC address,MAC地址,Communication,配置
Subnet,子网,Communication,网络配置
Gateway,网关,Communication,网络设备
Router,路由器,Communication,网络设备
Port,端口,Communication,通信端口
Baud rate,波特率,Communication,通信参数
Data bits,数据位,Communication,通信参数
Parity,校验位,Communication,通信参数
Stop bits,停止位,Communication,通信参数
Handshake,握手,Communication,通信参数
Polling,轮询,Communication,通信方式
Polled,被轮询,Communication,状态
Master polling,主站轮询,Communication,通信方式
Token,令牌,Communication,MS/TP协议
Token passing,令牌传递,Communication,MS/TP协议
Master,主站,Communication,通信角色
Slave,従站,Communication,通信角色
TS,终端电阻,Communication,通信设备
Terminator,终端电阻,Communication,通信设备
Repeater,中继器,Communication,通信设备
Hub,集线器,Communication,网络设备
Switch,交换机,Communication,网络设备
Bridge,网桥,Communication,网络设备
IP configuration,IP配置,Communication,网络设置
DHCP,DHCP动态主机配置协议,Communication,网络协议
Static IP,静态IP,Communication,网络配置
Auto IP,自动IP,Communication,网络配置
Broadcast,广播,Communication,通信方式
Multicast,组播,Communication,通信方式
Unicast,单播,Communication,通信方式


# ==================== 系统架构与层级 ====================
Central AFs,中央应用函数,Architecture,系统架构
Central AF,中央应用函数,Architecture,系统架构
Central control,中央控制,Architecture,控制层级
Central station,中央站,Architecture,控制中心
Centralized,集中式,Architecture,架构类型
Decentralized,分散式,Architecture,架构类型
Room segment,房间段,Architecture,功能单元
Room controller,房间控制器,Architecture,控制设备
Room unit,房间单元,Architecture,功能单元
Zone controller,区域控制器,Architecture,控制设备
Zone,区域,Architecture,功能区域
Area controller,区域控制器,Architecture,控制设备
Group Master,组主站,Architecture,通信角色
Group Member,组成员,Architecture,通信角色
Master,主站,Architecture,通信角色
Member,成员,Architecture,通信角色
Peer-to-peer,对等通信,Architecture,通信模式
Client-server,客户端-服务器,Architecture,通信模式
Client,客户端,Architecture,通信角色
Server,服务器,Architecture,通信角色
Topology,拓扑,Architecture,网络结构
Hierarchical,分层式,Architecture,架构类型


# ==================== 楼宇自动化通用 ====================
Building automation,楼宇自动化,BA,领域
Building management,楼宇管理,BA,领域
Building management system,楼宇管理系统,BA,系统
BMS,BMS楼宇管理系统,BA,系统缩写
BAS,BAS楼宇自动化系统,BA,系统缩写
HVAC system,HVAC系统,BA,子系统
Automation system,自动化系统,BA,系统
Control system,控制系统,BA,系统
Supervisory control,监控控制,BA,控制层级
Supervision,监控,BA,功能
SCADA,SCADA数据采集与监控系统,BA,系统
Integration,集成,BA,系统功能
Interoperability,互操作性,BA,系统特性
Open protocol,开放协议,BA,协议特性
Proprietary,专有的,BA,协议特性
Cloud,云,BA,技术架构
Edge,边缘,BA,技术架构
IoT,物联网,BA,技术领域
Analytics,分析,BA,数据应用
Dashboard,仪表板,BA,用户界面
Reporting,报表,BA,数据应用


# ==================== 编程工作流与编辑器 ====================
Top-down workflow,自顶向下工作流,Programming,工程方法
Bottom-up workflow,自底向上工作流,Programming,工程方法
Mixed workflow,混合工作流,Programming,工程方法
Programming editor,编程编辑器,Programming,工具
Chart partition,图表分区,Programming,编辑器功能
Run sequence,运行序列,Programming,功能块顺序
Auto-connect and auto-create BACnet objects,自动连接和创建BACnet对象,Programming,编辑器功能
Enable engineering data on device,启用设备工程数据,Programming,工程配置
Upload engineering data from device,从设备上传工程数据,Programming,操作
Download engineering data to device,下载工程数据到设备,Programming,操作
Align,对齐,Programming,编辑器命令
Sheet numbering,图纸编号,Programming,编辑器功能
Grid,网格,Programming,编辑器功能
Preview pane,预览窗格,Programming,编辑器UI
CFC (Continuous Function Chart),连续功能图,Programming,编程语言


# ==================== 编程基础与设计模式 ====================
Program design,程序设计,Programming,方法
Depiction of function blocks,功能块表示法,Programming,编程概念
Nested charts,嵌套图,Programming,编程概念
Flat plant,平面设备,Programming,编程概念
Nested plant,嵌套设备,Programming,编程概念
Normal mode,正常模式,Programming,运行模式
Exception mode,异常模式,Programming,运行模式
Typical input blocks,典型输入块,Programming,设计模式
Typical output blocks,典型输出块,Programming,设计模式
Sequencing,排序,Programming,控制逻辑
Creating staged controls,创建分级控制,Programming,设计模式
Sequencing energy generators,能源发生器排序,Programming,设计模式
Error codes,错误码,Programming,诊断
System of units,单位制,Programming,配置


# ==================== 功能块编程术语 ====================
Function block,功能块,Programming,程序组件
Read property,读取属性,Programming,BACnet操作
Write analog,写入模拟量,Programming,功能块
Write binary,写入二进制,Programming,功能块
Write multistate,写入多状态,Programming,功能块
Write date,写入日期,Programming,功能块
Write date and time,写入日期和时间,Programming,功能块
Write double integer value,写入双整数值,Programming,功能块
Write analog group,写入模拟量组,Programming,功能块
Write binary group,写入二进制组,Programming,功能块
Write multistate group,写入多状态组,Programming,功能块
Write multistate for present value,写入多状态当前值,Programming,功能块
Write time,写入时间,Programming,功能块
Write time of day,写入日内时间,Programming,功能块
Write unsigned,写入无符号,Programming,功能块
Write property for boolean value,写入布尔值属性,Programming,功能块
Write property for double integer value,写入双整数值属性,Programming,功能块
Enable write,启用写入,Programming,控制参数
Set valid value indication,设置有效值指示,Programming,信号
Repeat write,重复写入,Programming,控制参数
Threshold value,阈值,Programming,参数
Set unspecified value,设置未指定值,Programming,功能
Present value state,当前值状态,Programming,状态
BA-Object reference,BA对象引用,Programming,数据结构
Device identifier,设备标识符,Programming,BACnet标识
Object identifier,对象标识符,Programming,BACnet标识
Item identifier,项目标识符,Programming,BACnet标识
Property identifier,属性标识符,Programming,BACnet标识
Array index,数组索引,Programming,参数
Priority active,优先级激活,Programming,状态
Disturbed,扰动,Programming,状态
Error code indication,错误码指示,Programming,输出
Faulty,故障,Programming,状态
High limit reached,达到上限,Programming,状态
Low limit reached,达到下限,Programming,状态
Offnormal,异常状态,Programming,事件状态
Maintenance state,维护状态,Programming,状态
Operating hours,运行小时数,Programming,数据
Suppress event detection,抑制事件检测,Programming,功能
Suppress event notification,抑制事件通知,Programming,功能
Enable data aggregation,启用数据聚合,Programming,功能
Tracking value,跟踪值,Programming,BACnet属性
Minimum write interval,最小写入间隔,Programming,时间参数
Grouping tag,分组标签,Programming,配置参数
Double integer,双整数,Programming,数据类型
Date,日期,Programming,数据类型
Date and time,日期和时间,Programming,数据类型
Multistate,多状态,Programming,数据类型
Reliability,可靠性,Programming,BACnet属性
Time value,时间值,Programming,输出
Time of day,日内时间,Programming,数据类型
Ready,就绪,Programming,状态
Hundredths of a second,百分之一秒,Programming,时间单位
Milliseconds,毫秒,Programming,时间单位
Minutes,分钟,Programming,时间单位
Hours,小时,Programming,时间单位
Days,天,Programming,时间单位
Weekly,每周,Programming,时间单位


# ==================== 功能块(扩展) ====================
HOLD_R,保持实数值,Programming,功能块
AVE_TIME,时间平均值,Programming,功能块
POW_FNCT,幂函数,Programming,功能块
Time-based average,时间平均值,Programming,计算功能
Acquisition period,采集周期,Programming,时间参数
Power function,幂函数,Programming,数学函数
Base,底数,Programming,数学参数
Exponent,指数,Programming,数学参数


# ==================== 程序块：通用功能 ====================
Program block,程序块,Programming,编程单元
Characteristic function,特性函数,Programming,数学功能
Kick function,强推功能,Control,维护功能
Step up/down function,步进递增/递减功能,Control,控制功能
Consumption per period,每周期消耗,Energy,计量
Electrical trace heating,电伴热,HVAC,设备
Power control and compensation,功率控制与补偿,Control,功能
Startup function and alarm handling,启动功能与报警处理,Control,综合功能
Suppress event notification,抑制事件通知,Control,报警功能
Intelligent Valve,智能阀,HVAC,执行器
Dynamic control valve,动态控制阀,HVAC,执行器
Pump group,泵组,HVAC,设备
Twin pump,双泵,HVAC,设备
Variable speed control bypass,变速控制旁路,HVAC,控制功能


# ==================== 制冷与热泵程序块 ====================
Condenser,冷凝器,HVAC,制冷组件
Evaporator,蒸发器,HVAC,制冷组件
Refrigeration circuit,制冷回路,HVAC,系统
Hydraulic circuit for cooling,冷却液压回路,HVAC,水系统
Chiller with heat recovery,热回收冷水机组,HVAC,制冷设备
Heat pump operation,热泵运行,HVAC,模式
Inlet temperature control,入口温度控制,HVAC,控制功能
Outlet temperature control,出口温度控制,HVAC,控制功能
Refrigeration generation,制冷生成,HVAC,系统
Chilled water storage tank,冷冻水储水箱,HVAC,设备


# ==================== 中央与气象功能 ====================
Central facade function,中央立面功能,Architecture,照明/遮阳
Central operation for lighting,中央照明操作,Architecture,功能
Central operation for shading,中央遮阳操作,Architecture,功能
Central protection for shading,中央遮阳保护,Architecture,功能
Central service for shading,中央遮阳服务,Architecture,功能
Central seasonal compensation,中央季节补偿,Architecture,设定值校正
Central weather station,中央气象站,Architecture,传感器站
Solar radiation,太阳辐射,Weather,气象参数
Wind speed,风速,Weather,气象参数
Precipitation,降水量,Weather,气象参数


# ==================== 气象与太阳位置 ====================
Solar radiation conversion,太阳辐射转换,HVAC,计算功能
Solar function facade,太阳立面函数,HVAC,遮阳控制
Solar position calculation,太阳位置计算,HVAC,遮阳控制
Enthalpy,焓,HVAC,热力学参数
Absolute humidity,绝对湿度,HVAC,湿度参数
Heating curve,加热曲线,HVAC,控制曲线
Optimum start stop control,最优启停控制,Control,节能策略
Thermal load analysis,热负荷分析,Control,计算功能
Predictive heating controller,预测加热控制器,Control,控制功能
Rate-of-change limitation,变化率限制,Control,保护功能
Periodic pulse,周期脉冲,Control,信号
Stop watch,秒表,Control,计时功能
Restart counter,重启计数器,Control,计数功能


# ==================== 供应链与设备图 ====================
Supply chain hot water,热水供应链,HVAC,系统
Heating request,制热请求,HVAC,需求信号
Setpoint for heating request,制热请求设定值,HVAC,设定值
Heating lockout,制热锁定,HVAC,保护功能
Valve kick,阀门强推,HVAC,维护功能
Valve override,阀门覆盖,HVAC,控制功能
Outside air temperature,室外温度,HVAC,测量值
SplyHwMst,热水供应链管理器,HVAC,组管理器
Device chart,设备图表,Programming,PL-Link设备
Plant chart,设备图表,Programming,编程概念
Device chart programming patterns,设备图表编程模式,Programming,设计模式
Pre-assigned,预分配,Programming,属性
Internal programming logic,内部编程逻辑,Programming,设备固件
UP258D12,UP258D12,Hardware,KNX PL-Link设备


# ==================== 生活热水 ====================
Domestic hot water,生活热水,HVAC,系统
DHW,生活热水,HVAC,缩写
Storage tank,储水箱,HVAC,设备
Storage tank charge,储水箱充热,HVAC,功能
Internal heat exchanger,内部换热器,HVAC,设备
Hot water handling,热水处理,HVAC,功能


# ==================== 附加通用应用函数 ====================
Central optimum start stop control,中央最优启停控制,Control,功能
Central room operation distribution,中央房间操作分配,Architecture,功能
Extract air volume flow deviation evaluation,排风量偏差评估,HVAC,功能
Supply chain extract air volume flow deviation,供应链排风量偏差,HVAC,功能
Supply air volume flow deviation evaluation,送风量偏差评估,HVAC,功能
Condensation prevention,防凝露,HVAC,保护功能
Supply chain condensation prevention,供应链防凝露,HVAC,功能
Changeover function for 2-pipe,两管制切换功能,HVAC,功能
Supply chain changeover function for 2-pipe,供应链两管制切换,HVAC,功能
2-pipe system,两管制系统,HVAC,水系统


# ==================== 硬件设备与工程属性 ====================
PXC3,PXC3模块化控制器,Hardware,自动化站
DXP2,DXP2紧凑控制器,Hardware,控制器型号
Host name,主机名,Hardware,网络配置
DHCP,DHCP动态主机配置协议,Hardware,网络协议
Fixed IP,固定IP,Hardware,网络配置
IP address,IP地址,Hardware,网络配置
Subnet mask,子网掩码,Hardware,网络配置
Default gateway,默认网关,Hardware,网络配置
DNS server,DNS服务器,Hardware,网络配置
Domain,域,Hardware,网络配置
APDU retries,APDU重试次数,Hardware,BACnet参数
APDU timeout,APDU超时,Hardware,BACnet参数
Max APDU length,最大APDU长度,Hardware,BACnet参数
Serial number,序列号,Hardware,设备标识
UDP port,UDP端口,Hardware,BACnet通信
Time zone,时区,Hardware,配置
Baudrate,波特率,Hardware,MS/TP通信
MAC address,MAC地址,Hardware,网络标识
Max. manager,最大管理器,Hardware,MS/TP参数
Max info frames,最大信息帧,Hardware,MS/TP参数
System of units,单位制,Hardware,工程单位
Application type,应用类型,Hardware,工程配置
Application architecture,应用架构,Hardware,工程信息
Dependency tags,依赖标签,Hardware,工程配置
Short designation,短名称,Hardware,设备标识
Order number,订货号,Hardware,设备标识
Rail,导轨,Hardware,硬件安装
Device width,设备宽度,Hardware,硬件尺寸
Power supply,电源,Hardware,供电
Unit conversion,单位转换,Hardware,工程配置
Object access level,对象访问级别,BACnet,安全配置
Object usage,对象用途,BACnet,属性
Building automation profile,楼宇自动化配置文件,BACnet,属性
Profile name,配置文件名称,BACnet,属性
State flag,状态标志,BACnet,属性
Network number,网络编号,BACnet,MS/TP网络
Link speed,链路速度,BACnet,网络参数
Link speed auto-negotiation,链路速度自动协商,BACnet,网络参数
Command,命令,BACnet,网络端口
Activate,激活,BACnet,命令状态
Idle,空闲,BACnet,命令状态
Discard changes,丢弃变更,BACnet,命令状态
Restart port,重启端口,BACnet,命令状态
Changes in progress,进度中的变更,BACnet,状态
Max. number of managers,最大管理器数量,BACnet,MS/TP参数
Maximum info frames,最大信息帧数,BACnet,MS/TP参数
Apply parameters,应用参数,Hardware,I/O配置
TX rail,TX导轨,Hardware,硬件
KNX rail,KNX导轨,Hardware,硬件
DALI rail,DALI导轨,Hardware,硬件
SSL settings,SSL设置,Hardware,安全配置
Allow HTTP connection,允许HTTP连接,Hardware,安全配置
Apogee integration,Apogee集成,Hardware,系统集成


# ==================== 硬件设备与控制器 ====================
DXR2,DXR2控制器,Hardware,房间自动化控制器
DXR2.E09,DXR2.E09,Hardware,控制器型号
DXR2.E09T,DXR2.E09T,Hardware,控制器型号（带PL-Link）
DXR2.E10,DXR2.E10,Hardware,控制器型号
DXR2.E12P,DXR2.E12P,Hardware,控制器型号
DXR2.E12PX,DXR2.E12PX,Hardware,控制器型号
DXR2.E18,DXR2.E18,Hardware,控制器型号
DXR2.M09,DXR2.M09,Hardware,控制器型号
DXR2.M09T,DXR2.M09T,Hardware,控制器型号（带PL-Link）
DXR2.M10,DXR2.M10,Hardware,控制器型号
DXR2.M11,DXR2.M11,Hardware,控制器型号
DXR2.M12P,DXR2.M12P,Hardware,控制器型号
DXR2.M12PX,DXR2.M12PX,Hardware,控制器型号
DXR2.M18,DXR2.M18,Hardware,控制器型号
Pin,引脚,Hardware,硬件接口
I/O address,I/O地址,Hardware,硬件配置
PL-Link,PL-Link总线,Hardware,现场设备总线
APS,APS压差传感器,Hardware,传感器
OAVS,OAVS压差传感器,Hardware,传感器
Air velocity sensor,风速传感器,Hardware,传感器类型


# ==================== 附加KNX设备 ====================
UP258D3x,UP258D3x,Hardware,KNX PL-Link设备
UP258D41,UP258D41,Hardware,KNX PL-Link设备
UP258D51,UP258D51,Hardware,KNX PL-Link设备
UP258D61,UP258D61,Hardware,KNX PL-Link设备
AQR2570,AQR2570,Hardware,KNX传感器
AQR2576,AQR2576,Hardware,KNX传感器
RDG20..KN,RDG20..KN,Hardware,房间温控器
RDG26..KN,RDG26..KN,Hardware,房间温控器
QMX3.P30,QMX3.P30,Hardware,房间操作单元
QMX3.P40,QMX3.P40,Hardware,房间操作单元
QMX3.P70,QMX3.P70,Hardware,房间操作单元
QMX3.P74,QMX3.P74,Hardware,房间操作单元


# ==================== 设备操作面板配置 ====================
Backlight timeout,背光超时,UI,操作面板
Backlight brightness,背光亮度,UI,操作面板
Enable key beep,启用按键提示音,UI,操作面板
Area 1 text display time,区域1文本显示时间,UI,操作面板
Setpoint display time,设定值显示时间,UI,操作面板
Air volume flow units (SI),风量单位(SI),UI,显示配置
Enable automatic sash positioning,启用自动窗扇定位,UI,通风柜配置
Enable fume hood integrated light,启用通风柜集成灯,UI,通风柜配置
Enable operation: Green leaf,启绿叶操作,UI,能效配置
Fume hood mode icon type,通风柜模式图标类型,UI,显示配置
Timeout to default page,默认页面超时,UI,操作面板
Timeout user operation,用户操作超时,UI,操作面板
Alarm display time,报警显示时间,UI,操作面板
Info page,信息页面,UI,显示页面
Enable pushbutton, mode manual,启用手动按钮,UI,操作配置
Ramp charts,斜坡图,UI,图标类型
Fan / ventilation stages,风机/通风级图标,UI,图标类型
Key_4,按键4,UI,功能键
Key_8,按键8,UI,功能键
i-Button,信息按钮,UI,操作面板
Active unit set,活动单位集,UI,单位配置
Enable fume hood operation mode off,允许通风柜关闭模式,UI,操作权限
Enable fume hood operation mode auto,允许通风柜自动模式,UI,操作权限
Enable fume hood operation mode low,允许通风柜低风量模式,UI,操作权限
Enable fume hood op. mode medium,允许通风柜中速模式,UI,操作权限
Enable fume hood operation mode high,允许通风柜高速模式,UI,操作权限
QMX2.P33,QMX2.P33,Hardware,壁挂式房间操作单元
QMX2.P43,QMX2.P43,Hardware,壁挂式房间操作单元(带湿度传感器)
Rubber keys,橡胶按键,UI,操作面板
Doted backlit display,点阵背光显示,UI,操作面板
Multi sensor,多传感器,Hardware,温湿度传感器
GPDO,通用数字输出,Hardware,通道类型
LDSB,灯光调光传感器基本型,Shading,通道类型
SSSB,遮阳帘传感器基本型,Shading,通道类型
Outside sensor zone,外部传感器区域,UI,操作面板配置
Room climate operating mode,房间气候运行模式,UI,操作面板配置
Presence button,存在按钮,UI,按键功能
Temporary comfort,临时舒适,UI,模式
Comfort prolongation,舒适延长,UI,模式
Window contact indication,窗触指示,UI,状态显示
Heating/cooling state,制热/制冷状态,UI,状态显示
Setpoint shift,设定值偏移,UI,设定值调整
Temperature unit,温度单位,UI,显示配置
Increment,增量,UI,设定值步进
Air quality display,空气质量显示,UI,显示配置
Air quality text display,空气质量文本显示,UI,显示模式
Room climate,房间气候,UI,操作面板页面
Return to default display,返回默认显示,UI,操作面板配置
Default display,默认显示,UI,操作面板配置
Timeout for backlight,背光超时,UI,操作面板配置
Advanced settings,高级设置,UI,操作面板配置
Manual mode,手动模式,UI,优先级设置
Operation limit,操作限制,UI,优先级设置
Numeric,数值,UI,空气质量显示模式
Symbols,符号,UI,空气质量显示模式
Text,文本,UI,空气质量显示模式
Poor,差,UI,空气质量
Ok,一般,UI,空气质量
Good,良好,UI,空气质量
Scheduler override,日程覆盖,UI,操作面板
Spare programmable buttons,备用可编程按钮,UI,操作面板


# ==================== 传感器与检测器 ====================
Presence detector,人体感应探测器,Sensor,传感器
Presence detection,人体感应,Sensor,检测功能
Window contact,窗触点,Sensor,门磁开关
Window sensor,窗传感器,Sensor,传感器
Sash position sensor,窗扇位置传感器,Sensor,专用传感器
Velocity sensor,速度传感器,Sensor,流量检测
Air quality sensor,空气质量传感器,Sensor,环境监测
CO2 sensor,二氧化碳传感器,Sensor,环境监测
Temperature sensor,温度传感器,Sensor,通用传感器
Humidity sensor,湿度传感器,Sensor,环境监测
Pressure sensor,压力传感器,Sensor,通用传感器
Differential pressure sensor,差压传感器,Sensor,通用传感器
Flow sensor,流量传感器,Sensor,通用传感器
Smoke detector,烟雾探测器,Sensor,安全传感器
Gas detector,气体探测器,Sensor,安全传感器
Occupancy sensor,占用传感器,Sensor,空间检测
Daylight sensor,日光传感器,Sensor,光照检测
Membrane pressure sensor,薄膜压力传感器,Sensor,差压传感器
Ni1000,Ni1000温度传感器,Sensor,温度测量
NTC10K,NTC10K温度传感器,Sensor,温度测量
NTC100K,NTC100K温度传感器,Sensor,温度测量
PT1K,PT1K温度传感器,Sensor,温度测量
PTC T1,PTC T1温度传感器,Sensor,温度测量
0-10V,0-10V信号,Sensor,模拟信号类型
4-20mA,4-20mA信号,Sensor,模拟信号类型
Exhaust air temperature,排风温度,Sensor,温度测量
Extract air temperature,回风温度,Sensor,温度测量
Room temperature,房间温度,Sensor,温度测量
Supply air temperature,送风温度,Sensor,温度测量
Primary air temperature,一次风温度,Sensor,温度测量
Relative humidity for duct,风管相对湿度,Sensor,湿度测量
Relative humidity for room,房间相对湿度,Sensor,湿度测量
Air after-treatment,空气后处理,HVAC,功能
Stabilizing jet fan,稳定射流风机,HVAC,设备
Stabilizing jet fan variable speed,稳定射流风机变速,HVAC,控制
Stabilizing jet fan command,稳定射流风机命令,HVAC,信号
Stabilizing jet fan state,稳定射流风机状态,HVAC,状态
Stabilizing jet fan failure,稳定射流风机故障,HVAC,报警
Differential pressure switch,差压开关,HVAC,传感器
FhStbJetVarSpd,稳定射流风机变速输出,FumeHood,AO
FhStbJetCmd,稳定射流风机命令,FumeHood,BO
FhStbJetFanSta,稳定射流风机状态,FumeHood,BI
FhStbJetFail,稳定射流风机故障,FumeHood,报警
SpStbFanSpd,稳定射流风机速度设定值,FumeHood,设定值
SwiOffSshpFan,窗扇关闭位置关稳定风机,FumeHood,阈值
SwiOnSshpFan,窗扇开启位置开稳定风机,FumeHood,阈值
SwiOffAreaFan,面积关闭值关稳定风机,FumeHood,阈值
SwiOnAreaFan,面积开启值开稳定风机,FumeHood,阈值
SwiOffAflEhFan,排风量关闭值关稳定风机,FumeHood,阈值
DlyOffFanAirFl,稳定风机风量关闭延迟,FumeHood,时间参数
TiOnStbFanAlm,稳定风机开启报警时间,FumeHood,时间参数
HysAirFlEh,排风量滞环,FumeHood,控制参数
CV (Constant Volume),定风量,HVAC,运行模式
CV terminal,定风量末端,HVAC,设备类型
Box schedule,箱体明细表,HVAC,工程文档
Export application template,导出应用模板,Engineering,操作
Import application template,导入应用模板,Engineering,操作
.s1ct,.s1ct模板文件,Engineering,应用模板文件格式
XML export,XML导出,Engineering,数据导出
Device defaults,设备默认值,Engineering,工程设置
Duplicate,复制,Engineering,I/O操作
Signal type,信号类型,Engineering,I/O配置
Humidifier,加湿器,HVAC,设备
Three points control,三位控制,HVAC,控制方式
Triac,三端双向晶闸管,HVAC,执行器
Slow actuator,慢速执行器,HVAC,执行器类型


# 通用技术术语
Feature,特性/功能,General,通用
Interface,接口,General,连接点
Function,功能,General,通用
Overview,概述,Section,章节标题
Basic function,基本功能,Description,功能描述
Main features,主要功能,Description,列表标题
Note,注意/说明,Remark,提示信息
The following,以下,Text,引导词
As follows,如下,Text,引导词
Respectively,分别,Text,副词
Typically,通常,Text,频度副词
In most cases,在大多数情况下,Text,场景限定
Otherwise,否则,Logic,条件分支
Depending on,取决于,Logic,依赖关系
Based on,基于,Logic,依据
For example,例如,Text,举例
See also,另见,Reference,交叉引用
See,参见,Reference,引用
Refer to,参考,Reference,指引
Additional information,附加信息,Information,信息类型
Related,相关,Relation,关联性
Associated,关联的,Relation,形容词
Support,支持,Capability,能力
Include,包含,Containment,包含关系
Does not include,不包含,Containment,否定
External,外部,Location,方位
Internal,内部,Location,方位
Separate,单独的/独立的,Structure,独立性
Primary,主要的,Importance,优先级
Secondary,次要的,Importance,优先级


# 单位与符号（保持原样）
m³/h,立方米/小时,Unit,体积流量单位 - 不翻译
ft³/min,立方英尺/分钟,Unit,体积流量单位 - 不翻译
l/s,升/秒,Unit,体积流量单位 - 不翻译
s,秒,Unit,时间单位 - 不翻译
%,百分比,Unit,百分数单位 - 不翻译
°C,摄氏度,Unit,温度单位 - 不翻译
vdc,伏直流,Unit,电压单位 - 不翻译
cm,厘米,Unit,长度单位 - 不翻译


# 版本与兼容性
ABT 5.x and later,ABT 5.x及更高版本,Version,版本范围
ABT 4.x and earlier,ABT 4.x及更早版本,Version,版本范围
Version,版本,Metadata,通用
Release,发布,Metadata,软件周期
Compatible,兼容的,Compatibility,适配性


# 特殊保留词汇（不翻译）
Siemens,西门子,Brand,品牌名 - 保持原文
Schweiz AG,瑞士股份公司,Legal,公司法律形式 - 保持原文
Schema ST4,Schema ST4,Tool,工具名称 - 保持原文
Bootstrap,Bootstrap,Framework,前端框架 - 保持原文
jQuery,jQuery,Library,JS库 - 保持原文
Home,首页,Navigation,导航文本
Breadcrumb navigation,面包屑导航,UI,界面元素
Previous,上一页,Navigation,导航
Next,下一页,Navigation,导航
Copyright,版权,Legal,法律声明


# ==================== 安全证书管理 ====================
Certificate management,证书管理,Security,功能
Root certificate,根证书,Security,证书类型
Certificate authority,证书颁发机构,Security,CA
Operational certificate,运行证书,Security,证书类型
Client certificate,客户端证书,Security,证书类型
Certificate signing request,证书签名请求,Security,CSR
Renew certificate,更新证书,Security,操作
Export root certificate,导出根证书,Security,操作
Import external certificate,导入外部证书,Security,操作
Certificate type,证书类型,Security,属性
Issuing authority,签发机构,Security,属性
Valid until,有效期至,Security,属性
Certificate expiration,证书过期,Security,事件
Internal certificate,内部证书,Security,证书类型
External certificate,外部证书,Security,证书类型
BACnet/SC,BACnet安全连接,Security,BACnet扩展
IEEE 802.1X,IEEE 802.1X网络认证,Security,网络协议
Web certificate,Web证书,Security,HTTPS安全
Public key,公钥,Security,加密
Certificate report,证书报告,Security,文档
Show details,显示详情,Security,操作
Change certificate authority,更改证书颁发机构,Security,操作
Network check,网络检查,Engineering,任务


# ==================== 以人为本照明(HCL) ====================
Human-Centric Lighting,以人为本照明,Lighting,概念
HCL,以人为本照明,Lighting,缩写
Color temperature,色温,Lighting,照明参数
Brightness,亮度,Lighting,照明参数
Warm white,暖白,Lighting,色温类型
Cold white,冷白,Lighting,色温类型
Transient,过渡,Lighting,色温类型
Color control,颜色控制,Lighting,功能
Light planner,照明规划师,Lighting,角色
24-hour cycle,24小时周期,Lighting,时间
DALI device type 8,DALI设备类型8,Lighting,DALI镇流器
IEC 62386-209,IEC 62386-209标准,Lighting,照明标准
Gear,驱动器,Lighting,DALI设备
Lighting ballast,照明镇流器,Lighting,DALI设备

